infografia,fecha,hora,id_provincia,nombre_provincia,id_canton,nombre_canton,cerco_epid_act,poblacion_canton,poblacion_provincia
2,13/3/2020,17:00,09,guayas,0901,guayaquil,279,2723665,4387434
2,13/3/2020,17:00,12,los rios,1201,babahoyo,279,175281,921763
2,13/3/2020,17:00,17,pichincha,1701,quito,279,2781641,3228233
2,13/3/2020,17:00,21,Sucumbios,2101,lago agrio,279,119594,230503
3,14/3/2020,15:00,01,azuay,0101,cuenca,317,636996,881394
3,14/3/2020,15:00,09,guayas,0901,guayaquil,317,2723665,4387434
3,14/3/2020,15:00,12,los rios,1201,babahoyo,317,175281,921763
3,14/3/2020,15:00,17,pichincha,1701,quito,317,2781641,3228233
3,14/3/2020,15:00,21,Sucumbios,2101,lago agrio,317,119594,230503
5,15/3/2020,18:00,01,azuay,0101,cuenca,273,636996,881394
5,15/3/2020,18:00,09,guayas,0901,guayaquil,273,2723665,4387434
5,15/3/2020,18:00,12,los rios,1201,babahoyo,273,175281,921763
5,15/3/2020,18:00,17,pichincha,1701,quito,273,2781641,3228233
5,15/3/2020,18:00,21,Sucumbios,2101,lago agrio,273,119594,230503
7,16/3/2020,16:00,01,azuay,0101,cuenca,315,636996,881394
7,16/3/2020,16:00,09,guayas,0906,daule,315,173684,4387434
7,16/3/2020,16:00,09,guayas,0907,duran,315,315724,4387434
7,16/3/2020,16:00,09,guayas,0908,el empalme,315,86073,4387434
7,16/3/2020,16:00,09,guayas,0901,guayaquil,315,2723665,4387434
7,16/3/2020,16:00,09,guayas,0910,milagro,315,199835,4387434
7,16/3/2020,16:00,09,guayas,0916,samborondon,315,102404,4387434
7,16/3/2020,16:00,12,los rios,1201,babahoyo,315,175281,921763
7,16/3/2020,16:00,12,los rios,1206,urdaneta,315,32618,921763
7,16/3/2020,16:00,13,manabi,1308,manta,315,264281,1562079
7,16/3/2020,16:00,17,pichincha,1701,quito,315,2781641,3228233
7,16/3/2020,16:00,21,Sucumbios,2101,lago agrio,315,119594,230503
9,17/3/2020,9:00,01,azuay,0101,cuenca,451,636996,881394
9,17/3/2020,9:00,07,el oro,0701,machala,451,289141,715751
9,17/3/2020,9:00,09,guayas,0906,daule,451,173684,4387434
9,17/3/2020,9:00,09,guayas,0907,duran,451,315724,4387434
9,17/3/2020,9:00,09,guayas,0908,el empalme,451,86073,4387434
